title,artist,genre,decade
(What's so Funny 'bout) Peace Love and Understanding,Elvis Costello,Classic rock,70s
Absolutely (Story of a Girl),Nine Days,Alt rock,90s
Africa,Toto,Classic rock,80s
All of Me,Willie Nelson,Country,40s
Allison Road,Gin Blossoms,Alt Rock,90s
Amarillo by morning,George Strait,Country,80s
Amie,Pure Prarie League,Classic rock,70s
And it Stoned Me,Van Morrison,Classic rock,70s
Angela,The Lumineers,Alt rock,2010s
Baby's got her blue jeans on,Mel McDaniel,Country,70s
Big River,Grateful Dead (Johnny Cash),Country,50s
Blackbird,The Beatles,Classic Rock,60s
Blue on Black,Kenny Wayne Shepherd,Blues rock,90s
Breakfast at Tiffany's,,Alt rock,90s
Budapest,George Ezra,Pop,2010s
Can't You See,Marshall Tucker Band,Classic rock,70s
Careful Man,Jim Croce,Classic rock,70s
Carolina on My Mind,James Taylor,Folk,70s
Changes in Latitude,Jimmy Buffet,Folk,80s
City of New Orleans,Willie Nelson,Country,50s
Cleopatra,The Lumineers,Alt rock,2010s
Closing Time,,Alt rock,90s
Cocaine Blues,Johnny Cash,Country,50s
Come Monday,Jimmy Buffet,Folk,80s
Crazy little thing called love,Queen,Classic Rock,70s
Daddy Sang Bass,Johnny Cash,Country,50s
"Dance, Dance, Dance",Steve Miller,Classic rock,70s
Danny’s Song,Kenny Loggins,Folk,70s
Dark side of love,,Blues,2000s
Dead Flowers,Rolling Stones,Classic rock,70s
Dead in the Water,Supersuckers,Alt Country,90s
Diamonds on the Inside,Ben Harper,Pop,90s
Dixieland Delight,Alabama,Country,70s
Don't Ease Me In,Grateful Dead,Grateful Dead,70s
Don't Fence Me In,Gene Autrey,Country,30s
Drift Away,Dobie Gray,R&B,70s
Drivin my life away,Eddie Rabbitt,Country,70s
Dust Down a Country Road,John Hiatt,Country,80s
Every Morning,Sugar Ray,Alt Rock,90s
Fields of Gold,Sting,Pop,90s
Fire and Rain,James Taylor,Folk,70s
Fire on the Mountain,Grateful Dead,Grateful Dead,70s
Flake,Jack Johnson,Pop,2000s
Fly me to the moon,Frank Sinatra,Standards,60s
Folsom Prison Blues,Johnny Cash,Country,50s
Forget You,Cee Lo Green,R&B,2000s
Found Out About You,Gin Blossoms,Alt Rock,90s
Franklin's Tower,Grateful Dead,Grateful Dead,70s
Furr,Blitzen Trapper,Alt Rock,90s
Gentle on my mind,Glenn Campbell,Country,70s
Ghost riders in the sky,Johnny Cash,Country,70s
Good Hearted Woman,Waylon Jennings and Willie Nelson,Country,70s
Good Riddance (Time of your Life),Green Day,Alt Rock,90s
Green River,CCR,Classic rock,70s
Heaven,Bryan Adams,Classic rock,80s
Hey Jealousy,Gin Blossoms,Alt Rock,90s
Hey There Delilah,Plain White T's,Alt Rock,2000s
Ho Hey,,Alt Rock,2010s
Hold me now,Thompson Twins,Alt Rock,80s
How Far You've Come,Jakob Dylan,Alt Rock,90s
I Can See Clearly Now,Jonny Nash,Folk,70s
I Got a Name,Jim Croce,Folk,70s
I love this bar,,Country,2000s
I want you back,Jackson 5,R&B,70s
I’ve Been Everywhere,Johnny Cash,Country,50s
If I Had a Boat,Lyle Lovett,Alt Country,80s
"If You’re Gonna Be Dumb, You Gotta Be Tough",Roger Alan Wade,Alt Country,90s
Illegal Smile,John Prine,Alt Country,70s
In My Life,The Beatles,Classic Rock,60s
Into the Mystic,Van Morrison,Classic Rock,70s
Into your arms,Lemonheads,Alt Rock,90s
Isn't She Lovely,Stevie Wonder,R&B,70s
Jambalaya,Hank Williams,Country,50s
"Jesus, Etc.",Wilco,Alt Rock,2000s
Just Like Heaven,The Cure,Alt Rock,90s
Keep your hands to yourself,Georgia Satellites,Classic Rock,80s
Knockin' on Heaven's Door,Bob Dylan,Classic Rock,70s
Lodi,CCR,Classic Rock,70s
Long Haired Redneck,David Allan Coe,Country,70s
Long May You Run,Neil Young,Classic Rock,70s
Long Time Gone,Dickey Betts,Classic Rock,70s
Love is Blue,Paul Mauriat,Instrumental,60s
Mama Tried,Merle Haggard,Country,60s
Margaritaville,Jimmy Buffet,Folk,80s
